Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2023-03-31,4.6757,4.68323,4.66798,4.67907
2023-04-03,4.67648,4.68649,4.66775,4.67364
2023-04-04,4.67346,4.68209,4.66799,4.67862
2023-04-05,4.67809,4.69288,4.67355,4.68631
2023-04-06,4.68599,4.69434,4.68237,4.68598
2023-04-10,4.68108,4.69182,4.67605,4.68698
2023-04-11,4.68733,4.69253,4.66547,4.66718
2023-04-12,4.66706,4.6748,4.65041,4.65322
2023-04-13,4.65156,4.65561,4.63092,4.63867
2023-04-14,4.63918,4.65848,4.63333,4.64432
2023-04-17,4.64272,4.64507,4.62568,4.6313
2023-04-18,4.62964,4.63426,4.61587,4.62441
2023-04-19,4.62407,4.64893,4.61236,4.61936
2023-04-20,4.61862,4.62339,4.59641,4.59906
2023-04-21,4.59939,4.61407,4.59652,4.61272
2023-04-24,4.61292,4.61622,4.59683,4.6008
2023-04-25,4.60255,4.60526,4.58392,4.59292
2023-04-26,4.5929,4.60078,4.57591,4.58622
2023-04-27,4.586,4.59714,4.57139,4.5774
2023-04-28,4.57664,4.59207,4.57306,4.58643
2023-05-01,4.58512,4.61518,4.58414,4.60622
2023-05-02,4.60386,4.60644,4.56538,4.57906
2023-05-03,4.57852,4.59259,4.57128,4.58597
2023-05-04,4.58611,4.59195,4.58082,4.58912
2023-05-05,4.58913,4.59493,4.57118,4.57191
2023-05-08,4.5767,4.58075,4.55868,4.56102
2023-05-09,4.56069,4.57287,4.55031,4.55169
2023-05-10,4.55091,4.55516,4.51554,4.52049
2023-05-11,4.52042,4.54514,4.51629,4.53898
2023-05-12,4.53913,4.54718,4.5152,4.51898
2023-05-15,4.51714,4.52279,4.50128,4.50578
2023-05-16,4.50588,4.50972,4.48257,4.48628
2023-05-17,4.4858,4.52364,4.47925,4.52028
2023-05-18,4.52008,4.55477,4.51332,4.54888
2023-05-19,4.55001,4.55025,4.51529,4.54025
2023-05-22,4.54228,4.54653,4.49648,4.50406
2023-05-23,4.50416,4.50825,4.47901,4.49009
2023-05-24,4.49042,4.51251,4.47731,4.5001
2023-05-25,4.49948,4.51397,4.4979,4.50382
2023-05-26,4.50354,4.54266,4.49583,4.53139
2023-05-29,4.52631,4.53145,4.51218,4.52024
2023-05-30,4.51964,4.54051,4.51229,4.53298
2023-05-31,4.53146,4.5468,4.52397,4.5318
2023-06-01,4.5319,4.54759,4.51386,4.52082
2023-06-02,4.52141,4.52224,4.48773,4.48925
2023-06-05,4.49296,4.49652,4.46982,4.4782
2023-06-06,4.47822,4.4934,4.47331,4.47886
2023-06-07,4.47966,4.48826,4.46742,4.48493
2023-06-08,4.48537,4.4988,4.47002,4.47317
2023-06-09,4.47191,4.47535,4.43494,4.43935
2023-06-12,4.44443,4.44877,4.43102,4.44639
2023-06-13,4.44633,4.48941,4.44522,4.4824
2023-06-14,4.4824,4.49001,4.44213,4.4461
2023-06-15,4.44468,4.47723,4.44365,4.45542
2023-06-16,4.45538,4.47347,4.44304,4.46445
2023-06-19,4.46492,4.4736,4.44425,4.44845
2023-06-20,4.4485,4.45947,4.43601,4.44441
2023-06-21,4.44465,4.45018,4.43193,4.43427
2023-06-22,4.4344,4.43957,4.41962,4.42689
2023-06-23,4.42682,4.44015,4.42216,4.4385
2023-06-26,4.44125,4.44542,4.42796,4.43813
2023-06-27,4.43799,4.45524,4.42351,4.45022
2023-06-28,4.45027,4.49094,4.44569,4.48053
2023-06-29,4.47952,4.4819,4.43594,4.44705
2023-06-30,4.44705,4.46034,4.43153,4.43627
2023-07-03,4.43622,4.44544,4.42944,4.43676
2023-07-04,4.43694,4.4379,4.41414,4.43711
2023-07-05,4.43689,4.47025,4.42779,4.46418
2023-07-06,4.46418,4.50424,4.4595,4.48883
2023-07-07,4.48706,4.49339,4.44994,4.45368
2023-07-10,4.45547,4.46451,4.44066,4.44405
2023-07-11,4.44358,4.4616,4.43386,4.43817
2023-07-12,4.43745,4.45265,4.43368,4.44123
2023-07-13,4.44196,4.45254,4.4272,4.44658
2023-07-14,4.44592,4.46938,4.44421,4.45411
2023-07-17,4.45498,4.45886,4.43482,4.44308
2023-07-18,4.44307,4.45393,4.43112,4.44971
2023-07-19,4.44895,4.45873,4.43745,4.45024
2023-07-20,4.44999,4.45798,4.43697,4.45203
2023-07-21,4.45199,4.46682,4.4422,4.46186
2023-07-24,4.4629,4.46795,4.44238,4.44687
2023-07-25,4.44714,4.45394,4.42382,4.43377
2023-07-26,4.43352,4.43928,4.41593,4.42638
2023-07-27,4.42646,4.43078,4.41154,4.42118
2023-07-28,4.4206,4.43385,4.4056,4.41145
2023-07-31,4.41384,4.41515,4.39833,4.40374
2023-08-01,4.40385,4.44965,4.40176,4.44369
2023-08-02,4.44194,4.46135,4.43704,4.44669
2023-08-03,4.44647,4.47243,4.43742,4.45488
2023-08-04,4.45524,4.46792,4.43044,4.43356
2023-08-07,4.44229,4.44263,4.41172,4.42364
2023-08-08,4.42336,4.46733,4.42334,4.45289
2023-08-09,4.45261,4.47371,4.44861,4.46673
2023-08-10,4.4666,4.47382,4.43984,4.44713
